Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
Maine,3,2,0,111 | 181,0 | 0 | 0,0,4 | 11 | 15,0,201
,,,,5 | 149 | 27,,,,,
Maryland,11,16,34,"499 | 1,129",0 | 0 | 0,1,3 | 29 | 32,0,1223
,,,,101 | 919 | 109,,,,,
Massachusetts,12,18,7,"507 | 1,243",0 | 2 | 2,1,1 | 34 | 35,0,1318
,,,,"47 | 1,112 | 84",,,,,
Michigan,10,27,254,"534 | 1,122",0 | 2 | 2,0,11 | 97 | 108,0,1523
,,,,181 | 882 | 59,,,,,
Minnesota,7,25,314,286 | 687,0 | 0 | 0,0,11 | 40 | 51,0,1084
,,,,166 | 440 | 81,,,,,
Mississippi,4,5,3,41 | 64,0 | 0 | 0,2,4 | 93 | 97,0,175
,,,,1 | 46 | 17,,,,,
Missouri,3,22,92,"295 | 1,155",0 | 0 | 0,1,6 | 62 | 68,0,1341
,,,,"18 | 1,047 | 90",,,,,
Montana,7,1,2,36 | 76,0 | 0 | 0,0,2 | 53 | 55,0,141
,,,,0 | 40 | 36,,,,,
Nebraska,1,11,80,58 | 116,0 | 0 | 0,1,9 | 19 | 28,0,237
,,,,8 | 100 | 8,,,,,
Nevada,4,6,20,173 | 474,0 | 0 | 0,2,4 | 30 | 34,0,540
,,,,15 | 372 | 87,,,,,
New Hampshire,4,3,0,98 | 181,0 | 0 | 0,0,5 | 16 | 21,0,209
,,,,17 | 124 | 40,,,,,
New Jersey,5,28,5,244 | 494,0 | 0 | 0,0,0 | 21 | 21,0,553
,,,,34 | 372 | 88,,,,,
New Mexico,5,14,10,58 | 135,0 | 0 | 0,1,3 | 52 | 55,0,220
,,,,28 | 58 | 49,,,,,
New York,35,114,79,"862 | 1,677",0 | 1 | 1,0,11 | 66 | 77,0,1983
,,,,"86 | 1,458 | 133",,,,,
North Carolina,122,40,58,"453 | 1,015",0 | 0 | 0,1,7 | 99 | 106,0,1342
,,,,67 | 812 | 136,,,,,
North Dakota,3,0,43,7 | 9,0 | 0 | 0,0,0 | 25 | 25,0,80
,,,,0 | 9 | 0,,,,,
Ohio,14,59,151,278 | 499,0 | 1 | 1,6,14 | 89 | 103,0,833
,,,,14 | 376 | 109,,,,,
Oklahoma,5,125,30,54 | 103,0 | 0 | 0,1,6 | 138 | 144,0,408
,,,,6 | 59 | 38,,,,,
Oregon,52,17,10,"542 | 1,249",0 | 0 | 0,3,17 | 44 | 61,0,1392
,,,,150 | 894 | 205,,,,,
Pennsylvania,7,68,41,352 | 654,0 | 1 | 1,3,9 | 94 | 103,0,877
,,,,13 | 530 | 111,,,,,
Rhode Island,6,5,0,80 | 201,0 | 0 | 0,0,1 | 6 | 7,0,219
,,,,25 | 160 | 16,,,,,
South Carolina,25,12,67,200 | 364,0 | 1 | 1,1,10 | 43 | 53,0,523
,,,,8 | 308 | 48,,,,,
South Dakota,2,1,74,23 | 40,0 | 0 | 0,0,3 | 24 | 27,0,144
,,,,0 | 26 | 14,,,,,
Tennessee,31,19,78,428 | 970,0 | 0 | 0,5,3 | 85 | 88,0,1191
,,,,34 | 833 | 103,,,,,
Texas,17,132,193,"998 | 2,386",0 | 1 | 1,20,20 | 467 | 487,0,3236
,,,,"205 | 1,993 | 188",,,,,
Utah,1,90,1,127 | 291,0 | 0 | 0,8,3 | 45 | 48,0,439
,,,,4 | 207 | 80,,,,,
Vermont,3,3,1,161 | 380,0 | 0 | 0,0,0 | 2 | 2,0,389
,,,,57 | 276 | 47,,,,,
Virginia,11,21,22,427 | 991,0 | 0 | 0,2,8 | 80 | 88,0,1135
,,,,174 | 685 | 132,,,,,
Washington,40,27,21,"738 | 1,791",0 | 0 | 0,2,19 | 71 | 90,0,1971
,,,,"238 | 1,424 | 129",,,,,
West Virginia,2,4,12,43 | 96,0 | 0 | 0,0,1 | 12 | 13,0,127
,,,,5 | 86 | 5,,,,,
Wisconsin,5,57,151,280 | 445,0 | 0 | 0,1,4 | 65 | 69,0,728
,,,,123 | 272 | 50,,,,,
Wyoming,14,13,10,32 | 63,0 | 0 | 0,0,4 | 25 | 29,0,129
,,,,1 | 38 | 24,,,,,
Total,713,1730,3095,"17,782 | 44,299",25 | 33 | 58,140,"343 | 3,311 | 3,654",0,53689
,,,,"3,704 | 37,230 | 4,764",,,,,
,,,,,,,,,
,,,,,,,,,
(a) Includes legacy chargers but does not include residential electric vehicle charging infrastructure.,,,,,,,,,
(b) Primary propane stations offer vehicle-specific fueling capabilities. Secondary propane stations have fuel available for use in vehicles but limited vehicle fueling services.,,,,,,,,,
"(c) Retail hydrogen stations accept payment at the point of sale. Non-retail hydrogen stations are only available to a certain subset of customers (e.g., require an access card, PIN, or training).",,,,,,,,,
"(d) Totals are the number of station locations for all fuel types combined. Individual stations count multiple times if the station offers more than one fuel type. For electric, the total includes EVSE ports rather than station locations. For hydrogen, the total includes all (retail and non-retail) stations. For propane, the total includes all (primary and secondary) stations.",,,,,,,,,
