Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
Louisiana,1,22,18,141 | 360,0 | 0 | 0,1,8 | 43 | 51,0,453
,,,,18 | 274 | 68,,,,,
Maine,2,2,0,220 | 518,0 | 0 | 0,0,2 | 7 | 9,0,531
,,,,25 | 367 | 126,,,,,
Maryland,11,12,43,"884 | 2,776",0 | 0 | 0,0,10 | 17 | 27,0,"2,869"
,,,,"33 | 2,269 | 474",,,,,
Massachusetts,10,13,7,"1,038 | 3,415",0 | 1 | 1,1,9 | 21 | 30,0,"3,477"
,,,,"28 | 3,050 | 337",,,,,
Michigan,10,24,236,"567 | 1,605",0 | 2 | 2,0,24 | 67 | 91,0,"1,968"
,,,,"48 | 1,213 | 334",,,,,
Minnesota,146,23,422,"445 | 1,218",0 | 0 | 0,0,17 | 26 | 43,0,"1,852"
,,,,120 | 897 | 201,,,,,
Mississippi,2,8,5,104 | 344,0 | 0 | 0,2,16 | 60 | 76,0,437
,,,,58 | 228 | 58,,,,,
Missouri,2,20,115,"508 | 2,060",0 | 0 | 0,1,22 | 49 | 71,0,"2,269"
,,,,"9 | 1,834 | 217",,,,,
Montana,1,1,1,65 | 188,0 | 0 | 0,0,14 | 25 | 39,0,230
,,,,3 | 85 | 100,,,,,
Nebraska,3,10,88,115 | 287,0 | 0 | 0,1,5 | 25 | 30,0,419
,,,,7 | 212 | 68,,,,,
Nevada,2,8,12,"299 | 1,166",0 | 0 | 0,0,9 | 13 | 22,0,"1,210"
,,,,12 | 860 | 294,,,,,
New Hampshire,2,4,0,131 | 291,0 | 0 | 0,0,9 | 13 | 22,0,319
,,,,5 | 215 | 71,,,,,
New Jersey,4,28,6,"553 | 1,652",0 | 0 | 0,0,4 | 9 | 13,0,"1,703"
,,,,"17 | 1,205 | 430",,,,,
New Mexico,3,11,14,120 | 376,0 | 0 | 0,1,34 | 21 | 55,0,460
,,,,24 | 226 | 126,,,,,
New York,28,62,75,"2,036 | 6,134",0 | 1 | 1,0,13 | 30 | 43,0,"6,343"
,,,,"21 | 5,456 | 657",,,,,
North Carolina,112,38,96,"813 | 2,267",0 | 0 | 0,2,13 | 69 | 82,0,"2,597"
,,,,"29 | 1,925 | 313",,,,,
North Dakota,1,1,38,42 | 101,0 | 0 | 0,0,5 | 19 | 24,0,165
,,,,0 | 58 | 43,,,,,
Ohio,12,54,193,"656 | 1,845",0 | 1 | 1,3,27 | 48 | 75,0,"2,183"
,,,,"22 | 1,441 | 382",,,,,
Oklahoma,3,117,69,263 | 693,0 | 0 | 0,0,29 | 93 | 122,0,"1,004"
,,,,7 | 340 | 346,,,,,
Oregon,37,15,4,"745 | 2,121",0 | 0 | 0,2,31 | 21 | 52,0,"2,231"
,,,,"66 | 1,622 | 433",,,,,
Pennsylvania,5,88,143,"757 | 2,054",0 | 0 | 0,3,34 | 56 | 90,0,"2,383"
,,,,"31 | 1,698 | 325",,,,,
Rhode Island,4,3,0,148 | 550,0 | 0 | 0,0,1 | 4 | 5,0,562
,,,,79 | 433 | 38,,,,,
South Carolina,34,11,49,309 | 734,0 | 1 | 1,1,19 | 36 | 55,0,885
,,,,3 | 610 | 121,,,,,
South Dakota,0,0,80,45 | 133,0 | 0 | 0,0,7 | 16 | 23,0,236
,,,,0 | 79 | 54,,,,,
Tennessee,9,21,89,"494 | 1,345",0 | 0 | 0,4,18 | 45 | 63,0,"1,531"
,,,,"35 | 1,122 | 188",,,,,
Texas,26,112,241,"1,579 | 4,807",0 | 0 | 0,16,159 | 269 | 428,0,"5,630"
,,,,"82 | 3,988 | 737",,,,,
Utah,0,48,2,"444 | 1,606",0 | 0 | 0,0,20 | 23 | 43,0,"1,699"
,,,,"2 | 1,397 | 207",,,,,
Vermont,2,3,0,264 | 793,0 | 0 | 0,0,0 | 1 | 1,0,799
,,,,71 | 652 | 70,,,,,
Virginia,10,23,61,"814 | 2,531",0 | 0 | 0,2,13 | 70 | 83,0,"2,710"
,,,,"126 | 1,876 | 529",,,,,
Washington,36,25,16,"1,235 | 3,817",0 | 1 | 1,1,40 | 42 | 82,0,"3,978"
,,,,"161 | 3,011 | 645",,,,,
West Virginia,0,3,37,93 | 258,0 | 0 | 0,0,3 | 10 | 13,0,311
,,,,9 | 189 | 60,,,,,
Wisconsin,4,44,256,381 | 828,0 | 0 | 0,1,11 | 51 | 62,0,"1,195"
,,,,76 | 605 | 147,,,,,
Wyoming,0,8,10,61 | 172,0 | 0 | 0,0,9 | 15 | 24,0,214
,,,,2 | 93 | 77,,,,,
Total,712,"1,546","3,946","31,751 | 107,395",45 | 18 | 63,106,"948 | 2,018 | 2,966",0,"116,734"
,,,,"2,611 | 87,189 | 17,539",,,,,
,,,,,,,,,
,,,,,,,,,
(a) Includes legacy chargers but does not include residential electric vehicle charging infrastructure.,,,,,,,,,
(b) Primary propane stations offer vehicle-specific fueling capabilities. Secondary propane stations have fuel available for use in vehicles but limited vehicle fueling services.,,,,,,,,,
"(c) Retail hydrogen stations accept payment at the point of sale. Non-retail hydrogen stations are only available to a certain subset of customers (e.g., require an access card, PIN, or training).",,,,,,,,,
"(d) Totals are the number of station locations for all fuel types combined. Individual stations count multiple times if the station offers more than one fuel type. For electric, the total includes EVSE ports rather than station locations. For hydrogen, the total includes all (retail and non-retail) stations. For propane, the total includes all (primary and secondary) stations.",,,,,,,,,
