Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
Maine,3,2,1,151 | 264,0 | 0 | 0,0,4 | 8 | 12,0,282
,,,,7 | 201 | 56,,,,,
Maryland,12,15,35,"665 | 1,752",0 | 0 | 0,0,9 | 25 | 34,0,1848
,,,,"60 | 1,428 | 264",,,,,
Massachusetts,12,15,7,"649 | 1,794",0 | 2 | 2,1,2 | 31 | 33,0,1864
,,,,"36 | 1,554 | 204",,,,,
Michigan,7,21,253,"606 | 1,382",0 | 2 | 2,0,18 | 91 | 109,0,1774
,,,,"103 | 1,091 | 178",,,,,
Minnesota,19,25,412,318 | 788,0 | 0 | 0,0,10 | 38 | 48,0,1292
,,,,140 | 531 | 117,,,,,
Mississippi,4,6,5,58 | 119,0 | 0 | 0,3,7 | 79 | 86,0,223
,,,,1 | 79 | 39,,,,,
Missouri,2,21,98,"409 | 1,675",0 | 0 | 0,1,11 | 66 | 77,0,1874
,,,,"12 | 1,520 | 143",,,,,
Montana,7,1,2,43 | 96,0 | 0 | 0,0,2 | 43 | 45,0,151
,,,,1 | 47 | 48,,,,,
Nebraska,2,11,88,78 | 195,0 | 0 | 0,1,8 | 26 | 34,0,331
,,,,8 | 129 | 58,,,,,
Nevada,2,5,14,226 | 659,0 | 0 | 0,1,5 | 26 | 31,0,712
,,,,13 | 492 | 154,,,,,
New Hampshire,3,4,0,126 | 228,0 | 0 | 0,0,6 | 24 | 30,0,265
,,,,10 | 171 | 47,,,,,
New Jersey,5,27,6,309 | 749,0 | 0 | 0,0,1 | 15 | 16,0,803
,,,,18 | 552 | 179,,,,,
New Mexico,5,11,12,70 | 181,0 | 0 | 0,1,5 | 58 | 63,0,273
,,,,25 | 87 | 69,,,,,
New York,34,74,72,"1,157 | 2,562",0 | 1 | 1,0,11 | 55 | 66,0,2809
,,,,"53 | 2,189 | 320",,,,,
North Carolina,111,39,86,"666 | 1,488",0 | 0 | 0,1,10 | 81 | 91,0,1816
,,,,"36 | 1,235 | 217",,,,,
North Dakota,3,1,44,20 | 28,0 | 0 | 0,0,3 | 21 | 24,0,100
,,,,0 | 28 | 0,,,,,
Ohio,14,58,165,441 | 949,0 | 2 | 2,5,17 | 76 | 93,0,1286
,,,,27 | 720 | 202,,,,,
Oklahoma,4,124,52,65 | 167,0 | 0 | 0,1,10 | 125 | 135,0,483
,,,,9 | 116 | 42,,,,,
Oregon,65,16,10,"669 | 1,544",0 | 0 | 0,2,16 | 45 | 61,0,1698
,,,,"85 | 1,186 | 273",,,,,
Pennsylvania,6,80,123,453 | 985,0 | 0 | 0,3,13 | 86 | 99,0,1296
,,,,9 | 776 | 200,,,,,
Rhode Island,5,4,0,89 | 246,0 | 0 | 0,0,0 | 6 | 6,0,261
,,,,21 | 205 | 20,,,,,
South Carolina,24,11,66,270 | 554,0 | 1 | 1,1,7 | 42 | 49,0,706
,,,,4 | 463 | 87,,,,,
South Dakota,1,0,77,33 | 77,0 | 0 | 0,0,3 | 23 | 26,0,181
,,,,0 | 33 | 44,,,,,
Tennessee,21,23,78,"458 | 1,145",0 | 0 | 0,5,5 | 66 | 71,0,1343
,,,,29 | 951 | 165,,,,,
Texas,16,119,220,"1,180 | 3,138",0 | 1 | 1,21,35 | 422 | 457,0,3972
,,,,"98 | 2,615 | 425",,,,,
Utah,1,70,2,196 | 553,0 | 0 | 0,2,5 | 39 | 44,0,672
,,,,2 | 434 | 117,,,,,
Vermont,3,3,0,209 | 535,0 | 0 | 0,0,0 | 1 | 1,0,542
,,,,62 | 416 | 57,,,,,
Virginia,9,22,47,"615 | 1,446",0 | 0 | 0,2,7 | 75 | 82,0,1608
,,,,"95 | 1,100 | 251",,,,,
Washington,39,23,20,"961 | 2,573",0 | 1 | 1,1,16 | 70 | 86,0,2743
,,,,"171 | 2,085 | 317",,,,,
West Virginia,2,3,33,89 | 212,0 | 0 | 0,0,0 | 10 | 10,0,260
,,,,9 | 150 | 53,,,,,
Wisconsin,4,54,212,306 | 557,0 | 0 | 0,1,11 | 61 | 72,0,900
,,,,90 | 359 | 108,,,,,
Wyoming,4,13,12,45 | 121,0 | 0 | 0,0,0 | 29 | 29,0,179
,,,,4 | 53 | 64,,,,,
Total,680,1623,3627,"22,845 | 64,106",37 | 25 | 62,129,"450 | 2,867 | 3,317",0,73544
,,,,"2,577 | 52,148 | 9,279",,,,,
,,,,,,,,,
,,,,,,,,,
(a) Includes legacy chargers but does not include residential electric vehicle charging infrastructure.,,,,,,,,,
(b) Primary propane stations offer vehicle-specific fueling capabilities. Secondary propane stations have fuel available for use in vehicles but limited vehicle fueling services.,,,,,,,,,
"(c) Retail hydrogen stations accept payment at the point of sale. Non-retail hydrogen stations are only available to a certain subset of customers (e.g., require an access card, PIN, or training).",,,,,,,,,
"(d) Totals are the number of station locations for all fuel types combined. Individual stations count multiple times if the station offers more than one fuel type. For electric, the total includes EVSE ports rather than station locations. For hydrogen, the total includes all (retail and non-retail) stations. For propane, the total includes all (primary and secondary) stations.",,,,,,,,,
