Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
Louisiana,1,20,18,193 | 475,0 | 0 | 0,1,12 | 36 | 48,0,563
,,,,21 | 327 | 127,,,,,
Maine,1,2,1,412 | 869,0 | 0 | 0,0,2 | 6 | 8,0,881
,,,,25 | 665 | 179,,,,,
Maryland,24,15,55,"1,384 | 3,964",0 | 0 | 0,0,18 | 15 | 33,0,"4,091"
,,,,"45 | 3,222 | 697",,,,,
Massachusetts,1,13,7,"2,406 | 5,748",0 | 2 | 2,0,20 | 10 | 30,0,"5,801"
,,,,"64 | 5,096 | 588",,,,,
Michigan,8,16,230,"1,149 | 2,703",0 | 2 | 2,0,34 | 53 | 87,0,"3,046"
,,,,"14 | 2,153 | 526",,,,,
Minnesota,245,21,439,"601 | 1,533",0 | 0 | 0,0,26 | 21 | 47,0,"2,285"
,,,,"75 | 1,180 | 278",,,,,
Mississippi,1,6,5,114 | 440,0 | 0 | 0,2,16 | 51 | 67,0,521
,,,,139 | 220 | 81,,,,,
Missouri,14,18,139,"1,029 | 2,216",0 | 0 | 0,1,23 | 32 | 55,0,"2,443"
,,,,"14 | 1,910 | 292",,,,,
Montana,0,1,2,98 | 253,0 | 0 | 0,0,18 | 11 | 29,0,285
,,,,3 | 142 | 108,,,,,
Nebraska,24,8,127,214 | 446,0 | 0 | 0,0,7 | 20 | 27,0,632
,,,,0 | 340 | 106,,,,,
Nevada,2,5,19,"478 | 1,670",0 | 0 | 0,0,10 | 12 | 22,0,"1,718"
,,,,"15 | 1,227 | 428",,,,,
New Hampshire,2,4,0,201 | 466,0 | 0 | 0,0,5 | 11 | 16,0,488
,,,,6 | 322 | 138,,,,,
New Jersey,5,27,6,"938 | 2,713",0 | 0 | 0,0,7 | 5 | 12,0,"2,763"
,,,,"16 | 1,952 | 745",,,,,
New Mexico,1,11,17,211 | 528,0 | 0 | 0,1,43 | 18 | 61,0,619
,,,,10 | 359 | 159,,,,,
New York,20,46,80,"3,326 | 9,535",0 | 1 | 1,0,18 | 27 | 45,0,"9,727"
,,,,"41 | 8,330 | 1,164",,,,,
North Carolina,108,35,107,"1,166 | 3,040",0 | 0 | 0,1,22 | 49 | 71,0,"3,362"
,,,,"37 | 2,312 | 691",,,,,
North Dakota,1,1,42,80 | 172,0 | 0 | 0,0,4 | 15 | 19,0,235
,,,,0 | 111 | 61,,,,,
Ohio,4,47,210,"1,247 | 2,818",0 | 2 | 2,4,28 | 44 | 72,0,"3,157"
,,,,"40 | 2,336 | 442",,,,,
Oklahoma,9,112,95,"340 | 1,093",0 | 0 | 0,0,34 | 80 | 114,0,"1,423"
,,,,8 | 457 | 628,,,,,
Oregon,34,14,5,"1,009 | 2,475",0 | 0 | 0,2,28 | 15 | 43,0,"2,573"
,,,,"75 | 1,921 | 479",,,,,
Pennsylvania,4,86,172,"1,326 | 3,251",0 | 0 | 0,2,40 | 42 | 82,0,"3,597"
,,,,"51 | 2,496 | 704",,,,,
Rhode Island,3,1,0,297 | 783,0 | 0 | 0,0,3 | 2 | 5,0,792
,,,,82 | 627 | 74,,,,,
South Carolina,32,11,60,413 | 978,0 | 0 | 0,1,21 | 25 | 46,0,"1,128"
,,,,18 | 697 | 263,,,,,
South Dakota,0,0,81,69 | 176,0 | 0 | 0,0,4 | 12 | 16,0,273
,,,,2 | 96 | 78,,,,,
Tennessee,7,18,93,"695 | 1,683",0 | 0 | 0,4,27 | 26 | 53,0,"1,858"
,,,,"33 | 1,384 | 266",,,,,
Texas,11,86,262,"2,471 | 6,332",0 | 0 | 0,15,170 | 193 | 363,0,"7,069"
,,,,"96 | 4,825 | 1,411",,,,,
Utah,1,42,1,"780 | 1,853",0 | 0 | 0,1,21 | 15 | 36,0,"1,934"
,,,,"17 | 1,580 | 256",,,,,
Vermont,2,2,0,351 | 898,0 | 0 | 0,0,0 | 1 | 1,0,903
,,,,35 | 758 | 105,,,,,
Virginia,7,22,72,"1,221 | 3,643",0 | 1 | 1,1,40 | 42 | 82,0,"3,828"
,,,,"237 | 2,522 | 884",,,,,
Washington,21,25,12,"1,784 | 4,533",0 | 1 | 1,1,52 | 19 | 71,0,"4,664"
,,,,"209 | 3,511 | 813",,,,,
West Virginia,1,2,38,137 | 385,0 | 0 | 0,0,6 | 11 | 17,0,443
,,,,19 | 259 | 107,,,,,
Wisconsin,23,43,257,"470 | 1,101",0 | 0 | 0,1,21 | 32 | 53,0,"1,478"
,,,,6 | 824 | 271,,,,,
Wyoming,0,9,8,86 | 214,0 | 0 | 0,0,4 | 12 | 16,0,247
,,,,6 | 114 | 94,,,,,
Total,"1,196","1,390","4,452","53,568 | 144,227",52 | 19 | 71,98,"1,271 | 1,429 | 2,700",0,"154,134"
,,,,"3,007 | 113,013 | 28,165",,,,,
,,,,,,,,,
,,,,,,,,,
(a) Includes legacy chargers but does not include residential electric vehicle charging infrastructure.,,,,,,,,,
(b) Primary propane stations offer vehicle-specific fueling capabilities. Secondary propane stations have fuel available for use in vehicles but limited vehicle fueling services.,,,,,,,,,
"(c) Retail hydrogen stations accept payment at the point of sale. Non-retail hydrogen stations are only available to a certain subset of customers (e.g., require an access card, PIN, or training).",,,,,,,,,
"(d) Totals are the number of station locations for all fuel types combined. Individual stations count multiple times if the station offers more than one fuel type. For electric, the total includes EVSE ports rather than station locations. For hydrogen, the total includes all (retail and non-retail) stations. For propane, the total includes all (primary and secondary) stations.",,,,,,,,,
