Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
,,,,24 | 617 | 208,,,,,
Louisiana,1,18,19,265 | 709,0 | 0 | 0,1,13 | 36 | 49,0,797
,,,,21 | 469 | 219,,,,,
Maine,1,2,0,"486 | 1,084",0 | 0 | 0,0,2 | 7 | 9,0,"1,096"
,,,,22 | 840 | 222,,,,,
Maryland,25,13,61,"1,726 | 5,022",0 | 0 | 0,0,20 | 15 | 35,0,"5,156"
,,,,"39 | 4,054 | 929",,,,,
Massachusetts,1,12,6,"2,965 | 7,032",0 | 1 | 1,0,20 | 10 | 30,0,"7,082"
,,,,"66 | 6,300 | 666",,,,,
Michigan,7,13,243,"1,447 | 3,352",0 | 2 | 2,0,61 | 60 | 121,0,"3,738"
,,,,"13 | 2,629 | 703",,,,,
Minnesota,274,19,415,"773 | 1,995",0 | 0 | 0,0,29 | 19 | 48,0,"2,751"
,,,,"73 | 1,484 | 438",,,,,
Mississippi,1,4,6,163 | 551,0 | 0 | 0,2,37 | 34 | 71,0,635
,,,,139 | 297 | 115,,,,,
Missouri,24,18,135,"1,240 | 2,703",0 | 0 | 0,1,29 | 26 | 55,0,"2,936"
,,,,"15 | 2,248 | 440",,,,,
Montana,0,1,0,126 | 347,0 | 0 | 0,0,16 | 11 | 27,0,375
,,,,3 | 180 | 164,,,,,
Nebraska,14,6,119,260 | 554,0 | 0 | 0,0,11 | 13 | 24,0,717
,,,,1 | 400 | 153,,,,,
Nevada,2,5,20,"596 | 1,987",0 | 0 | 0,0,14 | 9 | 23,0,"2,037"
,,,,"15 | 1,348 | 624",,,,,
New Hampshire,2,4,0,261 | 597,0 | 0 | 0,0,5 | 14 | 19,0,622
,,,,5 | 415 | 177,,,,,
New Jersey,5,28,7,"1,299 | 3,723",0 | 0 | 0,0,9 | 7 | 16,0,"3,779"
,,,,"16 | 2,704 | 1,003",,,,,
New Mexico,0,13,17,278 | 695,0 | 0 | 0,1,44 | 16 | 60,0,786
,,,,10 | 441 | 244,,,,,
New York,13,46,75,"3,898 | 11,114",0 | 1 | 1,0,19 | 30 | 49,0,"11,298"
,,,,"38 | 9,717 | 1,359",,,,,
North Carolina,108,31,104,"1,595 | 4,204",0 | 0 | 0,1,27 | 47 | 74,0,"4,522"
,,,,"37 | 3,188 | 979",,,,,
North Dakota,0,1,38,98 | 209,0 | 0 | 0,0,4 | 12 | 16,0,264
,,,,0 | 121 | 88,,,,,
Ohio,4,50,217,"1,586 | 3,653",0 | 2 | 2,4,59 | 52 | 111,0,"4,041"
,,,,"41 | 2,864 | 748",,,,,
Oklahoma,18,101,98,"358 | 1,363",0 | 0 | 0,0,31 | 78 | 109,0,"1,689"
,,,,6 | 514 | 843,,,,,
Oregon,30,13,5,"1,263 | 3,190",0 | 0 | 0,1,30 | 14 | 44,7,"3,290"
,,,,"74 | 2,326 | 790",,,,,
Pennsylvania,4,83,172,"1,712 | 4,293",0 | 0 | 0,2,49 | 44 | 93,0,"4,647"
,,,,"51 | 3,245 | 997",,,,,
Rhode Island,1,1,0,317 | 817,0 | 0 | 0,0,3 | 2 | 5,0,824
,,,,82 | 644 | 91,,,,,
South Carolina,33,13,58,"559 | 1,374",0 | 0 | 0,1,25 | 17 | 42,0,"1,521"
,,,,15 | 906 | 453,,,,,
South Dakota,0,0,81,98 | 232,0 | 0 | 0,0,4 | 11 | 15,0,328
,,,,2 | 127 | 103,,,,,
Tennessee,5,22,90,"918 | 2,225",0 | 0 | 0,4,28 | 26 | 54,0,"2,400"
,,,,"34 | 1,712 | 479",,,,,
Texas,10,93,265,"3,104 | 8,637",0 | 0 | 0,15,177 | 179 | 356,0,"9,376"
,,,,"83 | 6,297 | 2,257",,,,,
Utah,1,41,0,"893 | 2,185",0 | 0 | 0,0,20 | 19 | 39,0,"2,266"
,,,,"15 | 1,838 | 332",,,,,
Vermont,2,3,0,381 | 978,0 | 0 | 0,0,0 | 2 | 2,0,985
,,,,21 | 838 | 119,,,,,
Virginia,7,24,84,"1,562 | 4,565",0 | 1 | 1,1,41 | 36 | 77,0,"4,759"
,,,,"226 | 3,235 | 1,104",,,,,
Washington,24,23,13,"2,202 | 5,817",0 | 1 | 1,1,49 | 21 | 70,0,"5,949"
,,,,"165 | 4,578 | 1,074",,,,,
West Virginia,1,3,36,155 | 446,0 | 0 | 0,0,6 | 9 | 15,0,501
,,,,19 | 286 | 141,,,,,
Wisconsin,23,46,262,"577 | 1,398",0 | 0 | 0,1,21 | 40 | 61,0,"1,791"
,,,,7 | 977 | 414,,,,,
Wyoming,0,7,8,103 | 252,0 | 0 | 0,0,6 | 10 | 16,1,284
,,,,4 | 140 | 108,,,,,
Total,"1,700","1,392","4,495","64,315 | 176,032",58 | 18 | 76,94,"1,401 | 1,412 | 2,813",606,"187,208"
,,,,"2,972 | 135,112 | 37,920",,,,,
,,,,,,,,,
,,,,,,,,,
(a) Includes legacy chargers but does not include residential electric vehicle charging infrastructure.,,,,,,,,,
(b) Primary propane stations offer vehicle-specific fueling capabilities. Secondary propane stations have fuel available for use in vehicles but limited vehicle fueling services.,,,,,,,,,
"(c) Retail hydrogen stations accept payment at the point of sale. Non-retail hydrogen stations are only available to a certain subset of customers (e.g., require an access card, PIN, or training).",,,,,,,,,
"(d) Totals are the number of station locations for all fuel types combined. Individual stations count multiple times if the station offers more than one fuel type. For electric, the total includes EVSE ports rather than station locations. For hydrogen, the total includes all (retail and non-retail) stations. For propane, the total includes all (primary and secondary) stations.",,,,,,,,,
