Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
Maine,3,2,0,129 | 216,0 | 0 | 0,0,4 | 10 | 14,0,235
,,,,6 | 183 | 27,,,,,
Maryland,13,17,36,"563 | 1,360",0 | 0 | 0,1,8 | 26 | 34,0,1461
,,,,"74 | 1,135 | 151",,,,,
Massachusetts,11,16,7,"586 | 1,474",0 | 2 | 2,1,1 | 33 | 34,0,1545
,,,,"38 | 1,335 | 101",,,,,
Michigan,9,23,254,"554 | 1,206",0 | 2 | 2,0,15 | 88 | 103,0,1597
,,,,132 | 991 | 81,,,,,
Minnesota,7,25,372,294 | 760,0 | 0 | 0,0,7 | 41 | 48,0,1212
,,,,151 | 513 | 96,,,,,
Mississippi,4,7,5,57 | 116,0 | 0 | 0,2,8 | 83 | 91,0,225
,,,,3 | 80 | 33,,,,,
Missouri,3,22,94,"377 | 1,558",0 | 0 | 0,1,13 | 56 | 69,0,1747
,,,,"17 | 1,437 | 104",,,,,
Montana,7,1,2,33 | 84,0 | 0 | 0,0,2 | 46 | 48,0,142
,,,,0 | 40 | 44,,,,,
Nebraska,2,11,95,64 | 163,0 | 0 | 0,1,6 | 21 | 27,0,299
,,,,8 | 113 | 42,,,,,
Nevada,4,6,19,229 | 604,0 | 0 | 0,1,4 | 27 | 31,0,665
,,,,15 | 483 | 106,,,,,
New Hampshire,4,4,0,100 | 189,0 | 0 | 0,0,4 | 25 | 29,0,226
,,,,17 | 134 | 38,,,,,
New Jersey,5,26,4,265 | 553,0 | 0 | 0,0,0 | 19 | 19,0,607
,,,,33 | 420 | 100,,,,,
New Mexico,5,14,11,61 | 165,0 | 0 | 0,1,5 | 54 | 59,0,255
,,,,27 | 73 | 65,,,,,
New York,34,84,72,"954 | 1,952",0 | 1 | 1,0,10 | 61 | 71,0,2214
,,,,"81 | 1,695 | 176",,,,,
North Carolina,115,43,79,"595 | 1,352",0 | 0 | 0,1,7 | 85 | 92,0,1682
,,,,"65 | 1,130 | 157",,,,,
North Dakota,2,1,41,10 | 15,0 | 0 | 0,0,2 | 22 | 24,0,83
,,,,0 | 15 | 0,,,,,
Ohio,14,59,164,378 | 743,0 | 3 | 3,6,9 | 83 | 92,0,1081
,,,,20 | 598 | 125,,,,,
Oklahoma,5,120,32,60 | 137,0 | 0 | 0,2,7 | 128 | 135,0,431
,,,,14 | 80 | 43,,,,,
Oregon,70,16,10,"564 | 1,345",0 | 0 | 0,2,14 | 43 | 57,0,1500
,,,,"127 | 1,000 | 218",,,,,
Pennsylvania,7,77,117,388 | 770,0 | 0 | 0,3,14 | 90 | 104,0,1078
,,,,11 | 630 | 129,,,,,
Rhode Island,6,4,0,85 | 213,0 | 0 | 0,0,1 | 5 | 6,0,229
,,,,25 | 171 | 17,,,,,
South Carolina,24,13,64,243 | 480,0 | 2 | 2,1,7 | 42 | 49,0,633
,,,,8 | 408 | 64,,,,,
South Dakota,2,1,77,26 | 47,0 | 0 | 0,0,3 | 22 | 25,0,152
,,,,0 | 33 | 14,,,,,
Tennessee,27,22,81,"450 | 1,036",0 | 0 | 0,6,6 | 72 | 78,0,1250
,,,,35 | 884 | 117,,,,,
Texas,18,127,215,"1,073 | 2,654",0 | 1 | 1,23,36 | 434 | 470,0,3508
,,,,"134 | 2,282 | 238",,,,,
Utah,1,79,1,145 | 379,0 | 0 | 0,6,6 | 40 | 46,0,512
,,,,2 | 295 | 82,,,,,
Vermont,2,3,0,173 | 426,0 | 0 | 0,0,0 | 2 | 2,0,433
,,,,59 | 322 | 45,,,,,
Virginia,10,23,31,"474 | 1,094",0 | 0 | 0,2,9 | 83 | 92,0,1252
,,,,167 | 783 | 144,,,,,
Washington,41,25,18,"810 | 2,136",0 | 0 | 0,2,14 | 74 | 88,0,2310
,,,,"214 | 1,732 | 190",,,,,
West Virginia,2,3,33,69 | 199,0 | 0 | 0,0,0 | 10 | 10,0,247
,,,,9 | 161 | 29,,,,,
Wisconsin,5,56,157,283 | 489,0 | 0 | 0,1,10 | 64 | 74,0,782
,,,,104 | 325 | 60,,,,,
Wyoming,4,14,12,37 | 91,0 | 0 | 0,0,0 | 28 | 28,0,149
,,,,5 | 46 | 40,,,,,
Total,704,1682,3419,"19,940 | 52,337",31 | 32 | 63,137,"439 | 3,071 | 3,510",0,61852
,,,,"3,254 | 43,599 | 5,400",,,,,
,,,,,,,,,
,,,,,,,,,
(a) Includes legacy chargers but does not include residential electric vehicle charging infrastructure.,,,,,,,,,
(b) Primary propane stations offer vehicle-specific fueling capabilities. Secondary propane stations have fuel available for use in vehicles but limited vehicle fueling services.,,,,,,,,,
"(c) Retail hydrogen stations accept payment at the point of sale. Non-retail hydrogen stations are only available to a certain subset of customers (e.g., require an access card, PIN, or training).",,,,,,,,,
"(d) Totals are the number of station locations for all fuel types combined. Individual stations count multiple times if the station offers more than one fuel type. For electric, the total includes EVSE ports rather than station locations. For hydrogen, the total includes all (retail and non-retail) stations. For propane, the total includes all (primary and secondary) stations.",,,,,,,,,
