Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
Maine,4,1,1,184 | 433,0 | 0 | 0,0,3 | 10 | 13,0,452
,,,,25 | 298 | 110,,,,,
Maryland,11,13,39,"738 | 2,110",0 | 0 | 0,0,7 | 24 | 31,0,2204
,,,,"52 | 1,717 | 341",,,,,
Massachusetts,10,15,6,"811 | 2,455",0 | 2 | 2,1,9 | 23 | 32,0,2521
,,,,"38 | 2,131 | 286",,,,,
Michigan,9,21,241,"616 | 1,429",0 | 2 | 2,0,26 | 74 | 100,0,1802
,,,,"68 | 1,123 | 228",,,,,
Minnesota,16,26,430,"380 | 1,051",0 | 0 | 0,0,17 | 30 | 47,0,1570
,,,,123 | 777 | 151,,,,,
Mississippi,2,6,6,81 | 292,0 | 0 | 0,2,12 | 71 | 83,0,391
,,,,58 | 178 | 56,,,,,
Missouri,2,20,111,"452 | 1,895",0 | 0 | 0,1,16 | 57 | 73,0,2102
,,,,"11 | 1,712 | 172",,,,,
Montana,3,1,1,55 | 137,0 | 0 | 0,0,10 | 31 | 41,0,183
,,,,3 | 77 | 57,,,,,
Nebraska,3,8,97,95 | 238,0 | 0 | 0,1,4 | 24 | 28,0,375
,,,,7 | 169 | 62,,,,,
Nevada,2,6,12,284 | 927,0 | 0 | 0,1,5 | 23 | 28,0,976
,,,,15 | 684 | 228,,,,,
New Hampshire,2,4,0,121 | 244,0 | 0 | 0,0,7 | 20 | 27,0,277
,,,,5 | 197 | 42,,,,,
New Jersey,4,27,6,"457 | 1,297",0 | 0 | 0,0,4 | 13 | 17,0,1351
,,,,17 | 975 | 305,,,,,
New Mexico,3,11,14,82 | 245,0 | 0 | 0,1,33 | 29 | 62,0,336
,,,,24 | 123 | 98,,,,,
New York,34,69,71,"1,655 | 4,531",0 | 1 | 1,0,16 | 43 | 59,0,4765
,,,,"25 | 4,000 | 506",,,,,
North Carolina,114,40,89,"732 | 1,903",0 | 0 | 0,2,12 | 63 | 75,0,2223
,,,,"28 | 1,592 | 283",,,,,
North Dakota,2,1,41,28 | 46,0 | 0 | 0,0,5 | 19 | 24,0,114
,,,,0 | 46 | 0,,,,,
Ohio,13,60,180,"544 | 1,443",0 | 1 | 1,5,18 | 72 | 90,0,1792
,,,,"20 | 1,140 | 283",,,,,
Oklahoma,3,118,56,131 | 309,0 | 0 | 0,1,23 | 107 | 130,0,617
,,,,9 | 222 | 78,,,,,
Oregon,47,16,9,"722 | 1,895",0 | 0 | 0,2,25 | 32 | 57,0,2026
,,,,"79 | 1,502 | 314",,,,,
Pennsylvania,5,88,125,"572 | 1,475",0 | 0 | 0,3,15 | 92 | 107,0,1803
,,,,"25 | 1,203 | 247",,,,,
Rhode Island,5,4,0,113 | 407,0 | 0 | 0,0,1 | 3 | 4,0,420
,,,,79 | 305 | 23,,,,,
South Carolina,34,12,53,286 | 643,0 | 1 | 1,1,11 | 48 | 59,0,803
,,,,3 | 547 | 93,,,,,
South Dakota,0,0,83,41 | 127,0 | 0 | 0,0,6 | 17 | 23,0,233
,,,,0 | 75 | 52,,,,,
Tennessee,8,24,73,"453 | 1,207",0 | 0 | 0,4,9 | 56 | 65,0,1381
,,,,35 | 995 | 177,,,,,
Texas,23,108,232,"1,376 | 4,009",0 | 0 | 0,16,138 | 322 | 460,0,4848
,,,,"107 | 3,275 | 627",,,,,
Utah,0,51,2,289 | 950,0 | 0 | 0,2,17 | 22 | 39,0,1044
,,,,2 | 785 | 163,,,,,
Vermont,2,3,0,237 | 664,0 | 0 | 0,0,0 | 1 | 1,0,670
,,,,75 | 542 | 47,,,,,
Virginia,10,24,58,"710 | 2,056",0 | 0 | 0,2,10 | 78 | 88,0,2238
,,,,"124 | 1,592 | 340",,,,,
Washington,37,24,20,"1,095 | 3,206",0 | 1 | 1,1,29 | 53 | 82,0,3371
,,,,"178 | 2,541 | 487",,,,,
West Virginia,0,3,34,89 | 244,0 | 0 | 0,0,0 | 14 | 14,0,295
,,,,9 | 175 | 60,,,,,
Wisconsin,4,50,227,345 | 711,0 | 0 | 0,1,13 | 53 | 66,0,1059
,,,,78 | 492 | 141,,,,,
Wyoming,0,8,11,57 | 159,0 | 0 | 0,0,6 | 19 | 25,0,203
,,,,4 | 90 | 65,,,,,
Total,612,1576,3786,"26,968 | 85,253",44 | 20 | 64,118,"791 | 2,385 | 3,176",0,94585
,,,,"2,737 | 69,921 | 12,511",,,,,
,,,,,,,,,
,,,,,,,,,
(a) Includes legacy chargers but does not include residential electric vehicle charging infrastructure.,,,,,,,,,
(b) Primary propane stations offer vehicle-specific fueling capabilities. Secondary propane stations have fuel available for use in vehicles but limited vehicle fueling services.,,,,,,,,,
"(c) Retail hydrogen stations accept payment at the point of sale. Non-retail hydrogen stations are only available to a certain subset of customers (e.g., require an access card, PIN, or training).",,,,,,,,,
"(d) Totals are the number of station locations for all fuel types combined. Individual stations count multiple times if the station offers more than one fuel type. For electric, the total includes EVSE ports rather than station locations. For hydrogen, the total includes all (retail and non-retail) stations. For propane, the total includes all (primary and secondary) stations.",,,,,,,,,
